"title","year","length","budget","rating","votes","mpaa","genre"
"100 Mile Rule",2002,98,1100000,5.6,181,"R","Comedy"
"24 Hour Woman, The",1999,93,2500000,5.6,149,"R","Comedy"
"Air Marshal",2003,90,500000,3,81,"R","Action"
"Awfully Big Adventure, An",1995,112,4000000,5.8,608,"R","Drama"
"Ballad of Jack and Rose, The",2005,112,1500000,6.2,269,"R","Drama"
"Bananas",1971,82,2000000,7.1,4252,"PG-13","Comedy"
"Basket, The",1999,105,3000000,6.3,200,"PG","Drama"
"Better Luck Tomorrow",2002,98,250000,7.3,2697,"R","Drama"
"Beyond Re-Animator",2003,96,3000000,6.1,908,"R","Comedy"
"Beyond the Mat",1999,108,500000,7.3,2243,"R","Documentary"
"Big Tease, The",1999,86,4000000,6.1,670,"R","Comedy"
"Blue Hill Avenue",2001,120,1200000,6.6,85,"R","Drama"
"Bound",1996,109,4500000,7.5,11911,"R","Romance"
"Boys Don't Cry",1999,118,2000000,7.6,14456,"R","Drama"
"Breed, The",2001,91,4000000,4.7,582,"R","Action"
"Brigham City",2001,119,1000000,7.1,405,"PG-13","Drama"
"Broken Vessels",1998,90,600000,6.1,223,"R","Drama"
"Brooklyn Bound",2004,90,70000,4.2,30,"R","Drama"
"Bubba Ho-tep",2002,92,1000000,7.5,7142,"R","Comedy"
"Cafe Society",1995,104,3500000,5.7,137,"R","Drama"
"Charlotte Sometimes",2002,85,80000,4.6,555,"R","Drama"
"Cidade de Deus",2002,135,3300000,8.7,25964,"R","Drama"
"Civil Brand",2002,95,500000,4.1,102,"R","Drama"
"Claustrophobia",2003,79,114000,4.2,90,"R","Comedy"
"Cockettes, The",2002,100,300000,6.6,177,"R","Documentary"
"Comunidad, La",2000,110,2000000,7.2,1270,"R","Comedy"
"Confession, The",1999,114,4000000,5.8,519,"R","Drama"
"Cotton Mary",1999,124,3500000,5.3,164,"R","Drama"
"Curdled",1996,88,2309723,5.5,959,"R","Comedy"
"Dancing in September",2000,102,850000,6.4,166,"R","Drama"
"Day of Defense",2003,102,500000,3,8,"PG","Drama"
"Dead Babies",2000,100,1000000,4.3,172,"R","Comedy"
"Dead Hate the Living!, The",2000,90,150000,4.3,496,"R","Comedy"
"Deep End, The",2001,101,3000000,6.8,3524,"R","Drama"
"Demolitionist, The",1995,100,1000000,4.1,238,"R","Action"
"Dill Scallion",1999,91,500000,5.1,136,"PG-13","Comedy"
"Dom durakov",2002,104,2500000,6.8,382,"R","Drama"
"Dominion",1995,95,1300000,5,85,"R","Drama"
"Donnie Darko",2001,133,4500000,8.3,51961,"R","Drama"
"Down Time",2001,90,20000,3.5,55,"R","Drama"
"Down and Out with the Dolls",2001,88,1200000,6,37,"R","Comedy"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,93,1800000,8.7,63471,"PG","Comedy"
"Elephant",2003,81,3000000,7.3,9203,"R","Drama"
"Elvira's Haunted Hills",2001,90,1500000,5.2,307,"PG-13","Comedy"
"Emmett's Mark",2002,104,4500000,6.2,427,"R","Drama"
"Enter the Dragon",1973,99,850000,7.4,8078,"R","Action"
"Era of Vampire, The",2002,90,1000000,4.2,329,"R","Action"
"Escanaba in da Moonlight",2001,91,1000000,5.5,373,"PG-13","Comedy"
"Espinazo del diablo, El",2001,108,4500000,7.4,3474,"R","Drama"
"EvenHand",2002,92,500000,7.3,169,"R","Drama"
"Everything Put Together",2000,87,500000,7.1,151,"R","Drama"
"Evil Alien Conquerors",2002,89,500000,3.8,111,"PG-13","Comedy"
"Falls, The",2003,85,75000,5.7,29,"R","Drama"
"Female Trouble",1974,97,25000,7.1,868,"NC-17","Comedy"
"Festen",1998,105,1300000,8.2,11983,"R","Drama"
"Final",2001,111,80000,5.2,330,"R","Drama"
"Freeway",1996,102,3000000,6.5,4961,"R","Drama"
"Freeway II: Confessions of a Trickbaby",1999,90,2000000,4.6,666,"R","Drama"
"Freeze Frame",2004,99,2000000,5.8,189,"R","Drama"
"Frostbite",2005,83,2400000,2.8,201,"R","Comedy"
"Full Clip",2004,95,500000,4.1,72,"R","Action"
"Full Monty, The",1997,91,3500000,7.2,22115,"R","Comedy"
"Gerry",2002,105,3500000,6,1944,"R","Drama"
"Get on the Bus",1996,120,2400000,6.6,1142,"R","Drama"
"Go Fish",1994,84,15000,5.8,621,"R","Romance"
"God's Army",2000,108,300000,6.4,354,"PG","Drama"
"Gods and Monsters",1998,105,3500000,7.6,9020,"R","Drama"
"Going Greek",2001,90,198000,4.8,261,"R","Comedy"
"Gojira ni-sen mireniamu",1999,99,1000000,5.6,1150,"PG","Action"
"Granny, The",1995,85,1000000,4.2,142,"R","Comedy"
"Grave, The",1996,90,4000000,5.6,303,"R","Comedy"
"Gravesend",1997,85,65000,5,111,"R","Drama"
"Greenskeeper, The",2002,90,80000,4.7,38,"R","Comedy"
"Groove",2000,86,500000,6,1171,"R","Drama"
"Happy, Texas",1999,98,1700000,6.4,3453,"PG-13","Comedy"
"Hardware",1990,93,1500000,5.2,1323,"R","Action"
"Hav Plenty",1997,84,650000,5.3,256,"R","Comedy"
"Heart of America",2003,87,3000000,6.1,204,"R","Drama"
"High Strung",1991,93,300000,6.2,391,"PG","Comedy"
"Hit and Runway",1999,108,1200000,6.7,189,"R","Comedy"
"Hometown Legend",2002,108,2000000,4.6,186,"PG","Drama"
"Hurricane",1997,91,500000,6.6,424,"R","Drama"
"Husbands",1970,131,1000000,7,373,"PG-13","Drama"
"I Got the Hook Up",1998,93,3500000,3.2,412,"R","Comedy"
"Ice Cream Man",1995,84,2000000,4.2,349,"R","Comedy"
"In This World",2002,88,1900000,7.8,815,"R","Drama"
"In the Bedroom",2001,130,1700000,7.4,10177,"R","Drama"
"In the Company of Men",1997,97,25000,7.3,3618,"R","Comedy"
"Incident at Loch Ness",2004,94,1400000,6.4,251,"PG-13","Comedy"
"Intended, The",2002,110,3800000,6.8,40,"R","Drama"
"Interview with the Assassin",2002,88,750000,6.7,409,"R","Drama"
"Intruder, The",1962,84,80000,8,163,"PG-13","Drama"
"Jake's Booty Call",2003,77,50000,7,10,"R","Comedy"
"Jesus' Son",1999,107,2500000,6.9,2291,"R","Drama"
"Just Looking",1999,97,3000000,6.2,436,"R","Comedy"
"Karakter",1997,122,4500000,7.7,2687,"R","Drama"
"Keane",2004,100,850000,6.3,34,"R","Drama"
"Killers",1997,86,100000,2.8,127,"R","Action"
"Lana's Rain",2002,107,215000,7.1,56,"R","Drama"
"Last Picture Show, The",1971,118,1300000,8,5340,"R","Drama"
"Last Time I Committed Suicide, The",1997,92,4000000,5.3,530,"R","Drama"
"Learning Curve, The",2001,113,1000000,5.2,177,"R","Drama"
"Legion of the Dead",2001,92,2700000,3.4,374,"R","Comedy"
"Lengua asesina, La",1996,98,4000000,4,244,"R","Comedy"
"Little Secrets",2001,97,2500000,6.9,457,"PG","Drama"
"Loss of Sexual Innocence, The",1999,106,4000000,5.3,977,"R","Drama"
"Love Liza",2002,90,1000000,6.6,1588,"R","Drama"
"Love Object",2003,88,1000000,6.3,427,"R","Comedy"
"Love Stinks",1999,94,4000000,5.3,1311,"R","Comedy"
"Lunes al sol, Los",2002,113,4000000,7.8,1466,"R","Drama"
"Madonna: Truth or Dare",1991,114,4500000,5.5,2660,"R","Documentary"
"Manny & Lo",1996,88,500000,6.9,395,"R","Drama"
"Marilyn's Man",2004,92,825000,7.6,24,"PG","Documentary"
"May",2002,93,1700000,6.8,3324,"R","Drama"
"Mean Creek",2004,89,500000,7.3,2094,"R","Drama"
"Michael Moore Hates America",2004,125,200000,4.2,629,"R","Documentary"
"Monsoon Wife",2004,92,1000000,4.7,15,"R","Drama"
"Mudge Boy, The",2003,94,800000,6.8,204,"R","Drama"
"Muertos de risa",1999,111,3500000,6.3,334,"R","Comedy"
"Mute Witness",1994,95,2000000,6.8,1202,"R","Comedy"
"My Life's in Turnaround",1993,84,22000,3.9,196,"R","Comedy"
"Mystic Masseur, The",2001,117,2500000,5.2,157,"PG","Drama"
"Nadja",1994,93,1000000,5.7,781,"R","Drama"
"Napoleon Dynamite",2004,86,400000,7.2,17524,"PG","Comedy"
"Naqoyqatsi",2002,89,3000000,6.9,575,"PG","Documentary"
"No Way Home",1996,99,4000000,6.6,328,"R","Drama"
"Nochnoy dozor",2004,115,4200000,6.3,1020,"R","Action"
"Northfork",2003,103,1900000,6.2,1521,"PG-13","Drama"
"November",2004,73,300000,2.8,164,"R","Drama"
"Nueve reinas",2000,114,1500000,7.6,3721,"R","Drama"
"On the Border",1998,103,3000000,4.8,165,"R","Drama"
"One Hell of a Christmas",2002,94,400000,2.7,70,"R","Comedy"
"Open Water",2003,79,130000,6.1,7204,"R","Drama"
"Orgazmo",1997,92,1000000,5.7,5128,"NC-17","Comedy"
"Original Gangstas",1996,99,4800000,5.3,216,"R","Drama"
"Osama",2003,83,46000,7.5,1546,"PG-13","Drama"
"Otra conquista, La",1998,106,3500000,6.7,140,"R","Drama"
"Out-of-Sync",1995,105,1500000,4.7,37,"R","Drama"
"P.S. Your Cat Is Dead",2002,88,2000000,4.7,185,"R","Comedy"
"Packing Suburbia, A",1999,90,40000,4.5,38,"R","Drama"
"Pep Squad",1998,94,500000,4.4,120,"R","Comedy"
"Perfect Target",1997,89,3500000,4.2,55,"R","Action"
"Pink Flamingos",1972,108,12000,6.1,2029,"NC-17","Comedy"
"Poolhall Junkies",2002,94,4000000,6.6,1411,"R","Drama"
"Primer",2004,77,7000,6.4,1466,"PG-13","Drama"
"Queen's Messenger II",2001,90,4000000,6,27,"R","Action"
"R.M., The",2003,101,500000,5.3,213,"PG","Comedy"
"Rebel Without a Cause",1955,111,1500000,7.8,11055,"PG-13","Drama"
"Repli-Kate",2002,121,4000000,5.6,791,"R","Comedy"
"Requiem for a Dream",2000,102,4500000,8.4,47845,"R","Drama"
"Resurrection Man",1998,102,4000000,4.6,214,"R","Drama"
"Rock 'n' Roll Frankenstein",1999,88,250000,4.3,66,"R","Comedy"
"Route 666",2001,86,2300000,4,487,"R","Action"
"Safe Men",1998,88,1000000,6.1,590,"R","Comedy"
"Santa sangre",1989,123,787000,7.2,1165,"R","Drama"
"Saturn",1999,94,350000,5.5,43,"R","Drama"
"Searching for Debra Winger",2002,97,600000,5.6,301,"R","Documentary"
"Session 9",2001,97,1500000,6.6,3718,"R","Drama"
"Shakes the Clown",1992,87,1400000,5.5,838,"R","Comedy"
"Shallow Grave",1994,93,2500000,7.4,9401,"R","Drama"
"Shape of Things, The",2003,96,4000000,6.9,1816,"R","Drama"
"Shaun of the Dead",2004,99,4000000,7.9,18685,"R","Comedy"
"Six-String Samurai",1998,91,2000000,6.2,1163,"PG-13","Action"
"Skeletons in the Closet",2000,86,1500000,5.4,239,"R","Drama"
"Slam",1998,100,1000000,7.1,569,"R","Drama"
"Slaughter Rule, The",2002,112,500000,6,356,"R","Drama"
"Soho Square",2000,79,7000,4.9,45,"R","Drama"
"Sol Goode",2001,99,3000000,5.4,291,"R","Comedy"
"Songcatcher",2000,109,1800000,7.2,927,"PG-13","Drama"
"Sons of Provo",2004,93,200000,4.3,35,"PG","Comedy"
"Spanish Judges",1999,98,3500000,4.8,178,"R","Drama"
"Speedway Junky",1999,105,1000000,5.3,469,"R","Drama"
"Spring Forward",1999,110,2000000,7.1,307,"R","Drama"
"Stand-In, The",1999,100,400000,5.6,42,"PG","Drama"
"Starkweather",2004,92,1000000,4.6,89,"R","Drama"
"Station Agent, The",2003,88,500000,8.1,7112,"R","Drama"
"Stolen Summer",2002,91,1500000,6.2,801,"PG","Drama"
"Strangers on a Train",1951,103,1200000,8.3,10624,"PG","Drama"
"Sugar Town",1999,92,250000,5.8,307,"R","Comedy"
"Super Size Me",2004,100,300000,7.7,9487,"PG-13","Documentary"
"Super Troopers",2001,100,3000000,6.3,7728,"R","Comedy"
"THX 1138",1971,88,777000,6.5,4274,"R","Drama"
"Tart",2001,94,3300000,4.6,714,"R","Drama"
"Ted Bundy",2002,99,1200000,5.2,852,"R","Drama"
"Thirteen",2003,100,1500000,7.1,8652,"R","Drama"
"Thirteen Conversations About One Thing",2001,104,3000000,7.2,2883,"R","Drama"
"Time Changer",2002,95,825000,4.5,304,"PG","Drama"
"Trainspotting",1996,94,3500000,8,51887,"R","Drama"
"Trekkies",1997,86,375000,6.9,1526,"PG","Documentary"
"Trois 3: The Escort",2004,95,1000000,4.8,38,"R","Drama"
"Twin Falls Idaho",1999,111,500000,7.1,1547,"R","Drama"
"Twist",2003,97,350000,6,197,"R","Drama"
"Unmade Beds",1997,95,1000000,6.7,148,"R","Documentary"
"Untold, The",2002,92,3000000,3.8,400,"R","Action"
"Urban Ghost Story",1998,82,300000,5.3,167,"R","Drama"
"Urbania",2000,106,225000,6.9,1089,"R","Drama"
"Utomlyonnye solntsem",1994,132,2800000,7.6,2173,"R","Drama"
"Vault, The",2005,87,100000,2.4,64,"PG-13","Action"
"Vor",1997,110,2000000,7.2,841,"R","Drama"
"Waiting for Guffman",1996,84,4000000,7.6,7337,"R","Comedy"
"Waking Ned",1998,92,3000000,7.3,7232,"PG","Comedy"
"Walking Across Egypt",1999,100,4500000,6.9,247,"PG-13","Drama"
"We Don't Live Here Anymore",2004,101,3000000,6.1,1387,"R","Drama"
"Wedding Party, The",1969,92,43000,5.2,94,"R","Comedy"
"When Zachary Beaver Came to Town",2003,85,3000000,7.9,35,"PG","Drama"
"Where's Marlowe?",1998,97,3500000,6.2,188,"R","Comedy"
"Whole Wide World, The",1996,111,1300000,7.4,956,"PG","Drama"
"Wicked Spring",2002,102,500000,5.6,158,"PG-13","Drama"
"Wild Ride, The",1960,88,30000,3.8,56,"PG-13","Drama"
"Wild in the Streets",1968,94,1000000,5.9,329,"R","Drama"
"World Traveler",2001,103,2000000,5.4,350,"R","Drama"
"You Can Count on Me",2000,111,1200000,7.8,7630,"R","Drama"
